reservation_date,adults,children,booking_changes,total_of_special_requests,reservation_count
2016-04-09,127,19,12,30,66
2016-04-10,126,14,12,24,67
2016-04-11,76,17,8,13,40
2016-04-12,93,14,10,22,52
2016-04-13,106,18,15,18,69
2016-04-14,90,18,12,23,53
2016-04-15,170,18,24,19,94
2016-04-16,111,18,17,21,61
2016-04-17,129,21,9,29,70
2016-04-18,152,15,26,25,81
2016-04-19,83,17,6,10,46
2016-04-20,139,15,22,16,81
2016-04-21,97,24,13,31,56
2016-04-22,95,24,10,17,49
2016-04-23,83,14,7,25,42
2016-04-24,74,16,9,22,37
2016-04-25,169,22,47,45,83
2016-04-26,132,19,11,41,74
2016-04-27,100,18,14,24,52
2016-04-28,127,24,23,34,71
2016-04-29,118,21,20,23,68
2016-04-30,148,20,46,43,79
2016-05-01,62,23,0,20,30
2016-05-02,154,23,26,33,85
2016-05-03,97,20,12,18,51
2016-05-04,123,24,27,15,68
2016-05-05,95,19,9,23,55
2016-05-06,165,18,82,28,87
2016-05-07,90,19,16,22,46
2016-05-08,95,28,15,32,46
2016-05-09,118,20,44,32,61
2016-05-10,105,17,23,38,57
2016-05-11,82,14,9,23,46
2016-05-12,167,16,23,20,92
2016-05-13,67,20,8,24,34
2016-05-14,114,19,11,21,58
2016-05-15,150,19,28,18,79
2016-05-16,174,23,25,22,90
2016-05-17,72,19,7,26,39
2016-05-18,119,15,19,20,64
2016-05-19,117,23,10,23,63
2016-05-20,74,18,6,24,40
2016-05-21,65,15,9,19,32
2016-05-22,91,27,14,30,45
2016-05-23,77,22,12,29,36
2016-05-24,87,16,19,31,45
2016-05-25,98,16,10,30,54
2016-05-26,144,18,4,36,71
2016-05-27,89,24,16,37,46
2016-05-28,56,20,7,20,27
2016-05-29,94,21,42,19,52
2016-05-30,170,24,110,13,93
2016-05-31,63,19,18,10,33
2016-06-01,65,16,7,14,39
2016-06-02,110,23,11,40,58
2016-06-03,89,15,13,35,49
2016-06-04,50,19,11,23,24
2016-06-05,96,28,11,31,46
2016-06-06,105,21,9,32,50
2016-06-07,104,17,15,23,52
2016-06-08,61,14,10,20,28
2016-06-09,99,22,11,18,48
2016-06-10,86,13,9,22,43
2016-06-11,96,18,11,35,46
2016-06-12,122,24,46,35,61
2016-06-13,91,25,23,37,46
2016-06-14,85,27,4,21,43
2016-06-15,105,20,12,24,54
2016-06-16,87,21,13,21,45
2016-06-17,109,26,23,36,56
2016-06-18,94,15,27,48,48
2016-06-19,81,24,6,18,38
2016-06-20,173,41,17,30,87
2016-06-21,161,30,18,40,82
2016-06-22,113,28,13,30,64
2016-06-23,95,20,11,25,48
2016-06-24,77,25,5,21,38
2016-06-25,107,17,10,17,53
2016-06-26,103,22,10,31,50
2016-06-27,93,25,17,21,45
2016-06-28,90,21,19,32,45
2016-06-29,58,15,7,14,30
2016-06-30,124,30,22,34,61
2016-07-01,58,14,9,17,30
2016-07-02,85,24,11,32,41
2016-07-03,95,26,6,41,47
2016-07-04,106,19,11,33,51
2016-07-05,96,20,15,25,46
2016-07-06,51,16,1,20,27
2016-07-07,90,28,8,21,41
2016-07-08,66,24,7,33,33
2016-07-09,70,19,8,24,33
2016-07-10,66,19,5,20,32
2016-07-11,87,21,13,26,40
2016-07-12,68,20,25,27,35
2016-07-13,87,19,13,23,41
2016-07-14,87,17,7,19,42
2016-07-15,89,22,10,28,44
2016-07-16,99,25,17,46,48
2016-07-17,96,25,6,32,48
2016-07-18,190,31,11,44,91
2016-07-19,121,31,12,33,61
2016-07-20,87,20,14,28,46
2016-07-21,158,27,12,38,80
2016-07-22,103,28,20,31,51
2016-07-23,109,18,9,29,51
2016-07-24,105,25,15,44,51
2016-07-25,142,24,114,42,68
2016-07-26,97,27,14,29,45
2016-07-27,72,14,8,27,35
2016-07-28,100,29,14,34,44
2016-07-29,95,20,12,23,43
2016-07-30,131,39,33,54,62
2016-07-31,101,18,10,26,49
2016-08-01,136,33,16,50,67
2016-08-02,112,35,37,22,57
2016-08-03,87,23,12,23,43
2016-08-04,106,18,7,34,52
2016-08-05,96,29,25,36,44
2016-08-06,86,35,14,33,40
2016-08-07,94,27,9,39,42
2016-08-08,144,28,21,46,69
2016-08-09,69,18,5,18,32
2016-08-10,86,23,16,31,41
2016-08-11,127,37,18,51,63
2016-08-12,91,24,9,33,43
2016-08-13,95,29,17,39,45
2016-08-14,65,21,2,28,32
2016-08-15,122,26,18,51,59
2016-08-16,102,25,20,36,47
2016-08-17,87,23,10,33,42
2016-08-18,113,33,32,52,55
2016-08-19,85,19,7,46,39
2016-08-20,105,25,15,46,52
2016-08-21,88,27,12,32,42
2016-08-22,126,21,20,51,59
2016-08-23,84,31,12,38,40
2016-08-24,71,32,20,29,36
2016-08-25,115,28,10,38,57
2016-08-26,117,25,16,50,56
2016-08-27,115,28,15,34,51
2016-08-28,97,24,20,38,43
2016-08-29,123,39,16,48,58
2016-08-30,118,26,12,49,54
2016-08-31,113,28,11,45,55
2016-09-01,108,19,9,40,52
2016-09-02,123,20,18,34,60
2016-09-03,99,20,20,48,47
2016-09-04,81,20,6,34,39
2016-09-05,129,21,30,54,64
2016-09-06,60,19,7,23,29
2016-09-07,64,17,11,20,30
2016-09-08,69,19,13,25,33
2016-09-09,84,17,9,24,42
2016-09-10,92,16,15,26,42
2016-09-11,86,16,7,40,42
2016-09-12,93,22,16,32,45
2016-09-13,84,15,13,42,41
2016-09-14,134,19,13,43,66
2016-09-15,174,17,19,50,92
2016-09-16,62,20,6,22,29
2016-09-17,64,18,6,29,34
2016-09-18,136,19,28,25,69
2016-09-19,141,23,52,25,76
2016-09-20,123,21,40,41,64
2016-09-21,97,17,17,54,49
2016-09-22,69,19,10,22,33
2016-09-23,132,24,33,33,68
2016-09-24,73,23,17,31,34
2016-09-25,120,17,13,47,62
2016-09-26,117,19,16,53,60
2016-09-27,91,15,33,56,45
2016-09-28,54,14,3,20,29
2016-09-29,124,16,15,45,65
2016-09-30,79,17,10,37,40
2016-10-01,55,16,7,25,29
2016-10-02,96,22,6,31,47
2016-10-03,125,16,28,46,62
2016-10-04,85,18,4,24,44
2016-10-05,109,16,14,51,58
2016-10-06,239,19,26,58,122
2016-10-07,77,19,1,25,37
2016-10-08,81,17,9,23,40
2016-10-09,163,21,42,37,90
2016-10-10,140,21,29,45,73
2016-10-11,163,19,41,51,94
2016-10-12,147,16,7,68,84
2016-10-13,70,15,13,23,38
2016-10-14,48,15,2,18,25
2016-10-15,47,13,13,15,25
2016-10-16,118,19,52,16,67
2016-10-17,167,16,87,36,88
2016-10-18,156,21,30,18,80
2016-10-19,99,15,11,29,56
2016-10-20,141,15,28,37,88
2016-10-21,126,20,18,32,70
2016-10-22,63,17,3,29,30
2016-10-23,98,16,52,29,54
2016-10-24,158,19,53,42,80
2016-10-25,90,15,20,27,46
2016-10-26,171,21,48,44,90
2016-10-27,138,14,22,39,78
2016-10-28,94,16,17,47,51
2016-10-29,116,20,10,44,62
2016-10-30,149,19,21,34,72
2016-10-31,105,19,8,42,51
2016-11-01,111,19,19,38,60
2016-11-02,122,21,20,57,65
2016-11-03,87,14,23,34,45
2016-11-04,112,20,26,41,62
2016-11-05,120,19,13,70,62
2016-11-06,108,21,20,64,55
2016-11-07,98,21,17,38,54
2016-11-08,76,19,11,30,41
2016-11-09,79,17,19,38,43
2016-11-10,71,16,13,41,40
2016-11-11,65,15,11,27,37
2016-11-12,129,16,20,62,66
2016-11-13,99,15,15,55,48
2016-11-14,83,15,11,38,41
2016-11-15,81,16,9,46,43
2016-11-16,97,16,6,41,61
2016-11-17,85,13,23,35,50
2016-11-18,77,13,12,30,44
2016-11-19,85,18,9,23,44
2016-11-20,137,18,7,66,71
2016-11-21,171,17,25,57,90
2016-11-22,43,14,6,18,23
2016-11-23,85,15,5,18,47
2016-11-24,62,18,6,28,39
2016-11-25,74,15,11,33,45
2016-11-26,71,14,21,25,36
2016-11-27,129,30,16,64,65
2016-11-28,50,14,12,16,27
2016-11-29,46,13,5,17,29
2016-11-30,93,15,6,40,55
2016-12-01,46,14,4,19,23
2016-12-02,64,16,1,21,32
2016-12-03,115,22,9,34,58
2016-12-04,165,23,30,71,89
2016-12-05,44,16,6,19,22
2016-12-06,69,14,8,24,35
2016-12-07,105,18,21,19,59
2016-12-08,148,17,24,24,75
2016-12-09,53,15,21,25,29
2016-12-10,51,18,16,29,26
2016-12-11,170,21,27,61,87
2016-12-12,59,17,9,30,30
2016-12-13,125,16,4,26,65
2016-12-14,87,21,1,26,49
2016-12-15,143,14,7,26,87
2016-12-16,64,19,6,28,39
2016-12-17,65,13,8,39,37
2016-12-18,94,18,15,42,50
2016-12-19,68,21,7,27,35
2016-12-20,60,16,2,22,32
2016-12-21,44,16,5,21,26
2016-12-22,74,18,13,24,43
2016-12-23,135,16,13,15,73
2016-12-24,52,19,23,20,28
2016-12-25,20,17,4,9,9
2016-12-26,73,16,11,47,38
2016-12-27,99,16,31,46,51
2016-12-28,63,20,16,30,33
2016-12-29,100,20,19,53,58
2016-12-30,89,22,11,46,47
2016-12-31,64,23,11,33,34
